COUNTY,STATE,POPULATION,DATE
Baldwin County, Alabama,208563,2016-07-01
Barbour County, Alabama,25965,2016-07-01
Bibb County, Alabama,22643,2016-07-01
Blount County, Alabama,57704,2016-07-01
Bullock County, Alabama,10362,2016-07-01
Butler County, Alabama,19998,2016-07-01
Calhoun County, Alabama,114611,2016-07-01
Chambers County, Alabama,33843,2016-07-01
Cherokee County, Alabama,25725,2016-07-01
Chilton County, Alabama,43941,2016-07-01
Choctaw County, Alabama,12993,2016-07-01
Clarke County, Alabama,24392,2016-07-01
Clay County, Alabama,13492,2016-07-01
Cleburne County, Alabama,14924,2016-07-01
Coffee County, Alabama,51226,2016-07-01
Colbert County, Alabama,54216,2016-07-01
Conecuh County, Alabama,12395,2016-07-01
Coosa County, Alabama,10581,2016-07-01
Covington County, Alabama,37458,2016-07-01
Crenshaw County, Alabama,13913,2016-07-01
Cullman County, Alabama,82471,2016-07-01
Dale County, Alabama,49226,2016-07-01
Dallas County, Alabama,40008,2016-07-01
DeKalb County, Alabama,70900,2016-07-01
Elmore County, Alabama,81799,2016-07-01
Escambia County, Alabama,37728,2016-07-01
Etowah County, Alabama,102564,2016-07-01
Fayette County, Alabama,16546,2016-07-01
Autauga County, Alabama,55416,2016-07-01
Bethel Census Area, Alaska,17968,2016-07-01
Bristol Bay Borough, Alaska,898,2016-07-01
Denali Borough, Alaska,1953,2016-07-01
Dillingham Census Area, Alaska,4954,2016-07-01
Fairbanks North Star Borough, Alaska,100605,2016-07-01
Haines Borough, Alaska,2496,2016-07-01
Hoonah-Angoon Census Area, Alaska,2078,2016-07-01
Franklin County, Alabama,31628,2016-07-01
Geneva County, Alabama,26614,2016-07-01
Greene County, Alabama,8422,2016-07-01
Hale County, Alabama,14952,2016-07-01
Henry County, Alabama,17164,2016-07-01
Houston County, Alabama,104056,2016-07-01
Jackson County, Alabama,52138,2016-07-01
Jefferson County, Alabama,659521,2016-07-01
Lamar County, Alabama,13918,2016-07-01
Lauderdale County, Alabama,92318,2016-07-01
Lawrence County, Alabama,33244,2016-07-01
Lee County, Alabama,158991,2016-07-01
Limestone County, Alabama,92753,2016-07-01
Lowndes County, Alabama,10358,2016-07-01
Macon County, Alabama,18963,2016-07-01
Madison County, Alabama,356967,2016-07-01
Marengo County, Alabama,19673,2016-07-01
Marion County, Alabama,29998,2016-07-01
Marshall County, Alabama,95157,2016-07-01
Mobile County, Alabama,414836,2016-07-01
Monroe County, Alabama,21530,2016-07-01
Montgomery County, Alabama,226349,2016-07-01
Morgan County, Alabama,119012,2016-07-01
Perry County, Alabama,9574,2016-07-01
Pickens County, Alabama,20324,2016-07-01
Pike County, Alabama,33286,2016-07-01
Randolph County, Alabama,22652,2016-07-01
Russell County, Alabama,58172,2016-07-01
St. Clair County, Alabama,88019,2016-07-01
Shelby County, Alabama,210622,2016-07-01
Sumter County, Alabama,13040,2016-07-01
Talladega County, Alabama,80103,2016-07-01
Tallapoosa County, Alabama,40727,2016-07-01
Tuscaloosa County, Alabama,206102,2016-07-01
Walker County, Alabama,64967,2016-07-01
Washington County, Alabama,16756,2016-07-01
Wilcox County, Alabama,10986,2016-07-01
Winston County, Alabama,23805,2016-07-01
Aleutians East Borough, Alaska,3296,2016-07-01
Aleutians West Census Area, Alaska,5647,2016-07-01
Anchorage Municipality, Alaska,298192,2016-07-01
Mohave County, Arizona,205249,2016-07-01
Navajo County, Arizona,110026,2016-07-01
Pima County, Arizona,1016206,2016-07-01
Pinal County, Arizona,418540,2016-07-01
Santa Cruz County, Arizona,45985,2016-07-01
Yavapai County, Arizona,225562,2016-07-01
Yuma County, Arizona,205631,2016-07-01
Arkansas County, Arkansas,18214,2016-07-01
Ashley County, Arkansas,20492,2016-07-01
Baxter County, Arkansas,41062,2016-07-01
Benton County, Arkansas,258291,2016-07-01
Boone County, Arkansas,37304,2016-07-01
Bradley County, Arkansas,10996,2016-07-01
Calhoun County, Arkansas,5144,2016-07-01
Carroll County, Arkansas,27646,2016-07-01
Chicot County, Arkansas,10945,2016-07-01
Clark County, Arkansas,22657,2016-07-01
Clay County, Arkansas,14920,2016-07-01
Cleburne County, Arkansas,25264,2016-07-01
Cleveland County, Arkansas,8241,2016-07-01
Columbia County, Arkansas,23901,2016-07-01
Conway County, Arkansas,20937,2016-07-01
Craighead County, Arkansas,105835,2016-07-01
Crawford County, Arkansas,62267,2016-07-01
Crittenden County, Arkansas,49235,2016-07-01
Cross County, Arkansas,17037,2016-07-01
Dallas County, Arkansas,7469,2016-07-01
Juneau City and Borough, Alaska,32468,2016-07-01
Kenai Peninsula Borough, Alaska,58506,2016-07-01
Ketchikan Gateway Borough, Alaska,13746,2016-07-01
Kodiak Island Borough, Alaska,13732,2016-07-01
Kusilvak Census Area, Alaska,8049,2016-07-01
Lake and Peninsula Borough, Alaska,1562,2016-07-01
