STATE,POPULATION,DATE,State Code
Alabama,4887871,7/1/2018 population estimate,01
Alaska,737438,7/1/2018 population estimate,02
Arizona,7171646,7/1/2018 population estimate,04
Arkansas,3013825,7/1/2018 population estimate,05
California,39557045,7/1/2018 population estimate,06
Colorado,5695564,7/1/2018 population estimate,08
Connecticut,3572665,7/1/2018 population estimate,09
Delaware,967171,7/1/2018 population estimate,10
District of Columbia,702455,7/1/2018 population estimate,11
Florida,21299325,7/1/2018 population estimate,12
Georgia,10519475,7/1/2018 population estimate,13
Hawaii,1420491,7/1/2018 population estimate,15
Idaho,1754208,7/1/2018 population estimate,16
Illinois,12741080,7/1/2018 population estimate,17
Indiana,6691878,7/1/2018 population estimate,18
Iowa,3156145,7/1/2018 population estimate,19
Kansas,2911505,7/1/2018 population estimate,20
Kentucky,4468402,7/1/2018 population estimate,21
Louisiana,4659978,7/1/2018 population estimate,22
Maine,1338404,7/1/2018 population estimate,23
Maryland,6042718,7/1/2018 population estimate,24
Massachusetts,6902149,7/1/2018 population estimate,25
Michigan,9995915,7/1/2018 population estimate,26
Minnesota,5611179,7/1/2018 population estimate,27
Mississippi,2986530,7/1/2018 population estimate,28
Missouri,6126452,7/1/2018 population estimate,29
Montana,1062305,7/1/2018 population estimate,30
Nebraska,1929268,7/1/2018 population estimate,31
Nevada,3034392,7/1/2018 population estimate,32
New Hampshire,1356458,7/1/2018 population estimate,33
New Jersey,8908520,7/1/2018 population estimate,34
New Mexico,2095428,7/1/2018 population estimate,35
New York,19542209,7/1/2018 population estimate,36
North Carolina,10383620,7/1/2018 population estimate,37
North Dakota,760077,7/1/2018 population estimate,38
Ohio,11689442,7/1/2018 population estimate,39
Oklahoma,3943079,7/1/2018 population estimate,40
Oregon,4190713,7/1/2018 population estimate,41
Pennsylvania,12807060,7/1/2018 population estimate,42
Rhode Island,1057315,7/1/2018 population estimate,44
South Carolina,5084127,7/1/2018 population estimate,45
South Dakota,882235,7/1/2018 population estimate,46
Tennessee,6770010,7/1/2018 population estimate,47
Texas,28701845,7/1/2018 population estimate,48
Utah,3161105,7/1/2018 population estimate,49
Vermont,626299,7/1/2018 population estimate,50
Virginia,8517685,7/1/2018 population estimate,51
Washington,7535591,7/1/2018 population estimate,53
West Virginia,1805832,7/1/2018 population estimate,54
Wisconsin,5813568,7/1/2018 population estimate,55
Wyoming,577737,7/1/2018 population estimate,56
Puerto Rico,3195153,7/1/2018 population estimate,72
