COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
023,Hidalgo County, New Mexico,4198,2019-07-01
017,Hudson County, New Jersey,672391,2019-07-01
019,Hunterdon County, New Jersey,124371,2019-07-01
027,Morris County, New Jersey,491845,2019-07-01
031,McKinley County, New Mexico,71367,2019-07-01
043,Sandoval County, New Mexico,146748,2019-07-01
017,Grant County, New Mexico,26998,2019-07-01
009,Curry County, New Mexico,48954,2019-07-01
015,Eddy County, New Mexico,58460,2019-07-01
033,Mora County, New Mexico,4521,2019-07-01
045,San Juan County, New Mexico,123958,2019-07-01
009,Benton County, Mississippi,8259,2019-07-01
037,Franklin County, Mississippi,7713,2019-07-01
027,Coahoma County, Mississippi,22124,2019-07-01
061,Jasper County, Mississippi,16383,2019-07-01
067,Jones County, Mississippi,68098,2019-07-01
147,Walthall County, Mississippi,14286,2019-07-01
095,Monroe County, Mississippi,35252,2019-07-01
115,Pontotoc County, Mississippi,32174,2019-07-01
051,Holmes County, Mississippi,17010,2019-07-01
005,Amite County, Mississippi,12297,2019-07-01
089,Madison County, Mississippi,106272,2019-07-01
013,Calhoun County, Mississippi,14361,2019-07-01
091,Marion County, Mississippi,24573,2019-07-01
141,Tishomingo County, Mississippi,19383,2019-07-01
153,Wayne County, Mississippi,20183,2019-07-01
041,Greene County, Mississippi,13586,2019-07-01
093,Marshall County, Mississippi,35294,2019-07-01
119,Quitman County, Mississippi,6792,2019-07-01
109,Pearl River County, Mississippi,55535,2019-07-01
079,Leake County, Mississippi,22786,2019-07-01
099,Neshoba County, Mississippi,29118,2019-07-01
121,Rankin County, Mississippi,155271,2019-07-01
151,Washington County, Mississippi,43909,2019-07-01
077,Lawrence County, Mississippi,12586,2019-07-01
111,Perry County, Mississippi,11973,2019-07-01
017,Chickasaw County, Mississippi,17103,2019-07-01
015,Carroll County, Mississippi,9947,2019-07-01
039,George County, Mississippi,24500,2019-07-01
043,Grenada County, Mississippi,20758,2019-07-01
063,Jefferson County, Mississippi,6990,2019-07-01
101,Newton County, Mississippi,21018,2019-07-01
117,Prentiss County, Mississippi,25126,2019-07-01
125,Sharkey County, Mississippi,4321,2019-07-01
019,Choctaw County, Mississippi,8210,2019-07-01
045,Hancock County, Mississippi,47632,2019-07-01
057,Itawamba County, Mississippi,23390,2019-07-01
055,Issaquena County, Mississippi,1327,2019-07-01
059,Jackson County, Mississippi,143617,2019-07-01
083,Leflore County, Mississippi,28183,2019-07-01
143,Tunica County, Mississippi,9632,2019-07-01
021,Claiborne County, Mississippi,8988,2019-07-01
047,Harrison County, Mississippi,208080,2019-07-01
075,Lauderdale County, Mississippi,74125,2019-07-01
085,Lincoln County, Mississippi,34153,2019-07-01
127,Simpson County, Mississippi,26658,2019-07-01
159,Winston County, Mississippi,17955,2019-07-01
007,Attala County, Mississippi,18174,2019-07-01
065,Hardin County, Ohio,31365,2019-07-01
011,Auglaize County, Ohio,45656,2019-07-01
037,Darke County, Ohio,51113,2019-07-01
123,Ottawa County, Ohio,40525,2019-07-01
079,Jackson County, Ohio,32413,2019-07-01
077,Huron County, Ohio,58266,2019-07-01
009,Athens County, Ohio,65327,2019-07-01
001,Adams County, Ohio,27698,2019-07-01
103,Medina County, Ohio,179746,2019-07-01
095,Lucas County, Ohio,428348,2019-07-01
121,Noble County, Ohio,14424,2019-07-01
147,Seneca County, Ohio,55178,2019-07-01
151,Stark County, Ohio,370606,2019-07-01
031,Coshocton County, Ohio,36600,2019-07-01
041,Delaware County, Ohio,209177,2019-07-01
055,Geauga County, Ohio,93649,2019-07-01
073,Hocking County, Ohio,28264,2019-07-01
085,Lake County, Ohio,230149,2019-07-01
141,Ross County, Ohio,76666,2019-07-01
035,Cuyahoga County, Ohio,1235072,2019-07-01
075,Holmes County, Ohio,43960,2019-07-01
109,Miami County, Ohio,106987,2019-07-01
111,Monroe County, Ohio,13654,2019-07-01
155,Trumbull County, Ohio,197974,2019-07-01
173,Wood County, Ohio,130817,2019-07-01
005,Ashland County, Ohio,53484,2019-07-01
043,Dewey County, Oklahoma,4891,2019-07-01
059,Harper County, Oklahoma,3688,2019-07-01
083,Logan County, Oklahoma,48011,2019-07-01
143,Tulsa County, Oklahoma,651552,2019-07-01
147,Washington County, Oklahoma,51527,2019-07-01
057,Harmon County, Oklahoma,2653,2019-07-01
061,Haskell County, Oklahoma,12627,2019-07-01
111,Okmulgee County, Oklahoma,38465,2019-07-01
113,Osage County, Oklahoma,46963,2019-07-01
067,Jefferson County, Oklahoma,6002,2019-07-01
047,Garfield County, Oklahoma,61056,2019-07-01
049,Garvin County, Oklahoma,27711,2019-07-01
121,Pittsburg County, Oklahoma,43654,2019-07-01
027,Lincoln County, New Mexico,19572,2019-07-01
005,Chaves County, New Mexico,64615,2019-07-01
025,Lea County, New Mexico,71070,2019-07-01
049,Santa Fe County, New Mexico,150358,2019-07-01
059,Union County, New Mexico,4059,2019-07-01
051,Sierra County, New Mexico,10791,2019-07-01
053,Socorro County, New Mexico,16637,2019-07-01
041,Roosevelt County, New Mexico,18500,2019-07-01
013,Doña Ana County, New Mexico,218195,2019-07-01
028,Los Alamos County, New Mexico,19369,2019-07-01
039,Rio Arriba County, New Mexico,38921,2019-07-01
047,San Miguel County, New Mexico,27277,2019-07-01
061,Valencia County, New Mexico,76688,2019-07-01
057,Torrance County, New Mexico,15461,2019-07-01
001,Bernalillo County, New Mexico,679121,2019-07-01
035,Otero County, New Mexico,67490,2019-07-01
006,Cibola County, New Mexico,26675,2019-07-01
011,De Baca County, New Mexico,1748,2019-07-01
019,Guadalupe County, New Mexico,4300,2019-07-01
003,Catron County, New Mexico,3527,2019-07-01
005,Bronx County, New York,1418207,2019-07-01
179,Washington County, Tennessee,129375,2019-07-01
183,Weakley County, Tennessee,33328,2019-07-01
005,Benton County, Tennessee,16160,2019-07-01
007,Bledsoe County, Tennessee,15064,2019-07-01
013,Campbell County, Tennessee,39842,2019-07-01
015,Cannon County, Tennessee,14678,2019-07-01
083,Houston County, Tennessee,8201,2019-07-01
119,Maury County, Tennessee,96387,2019-07-01
373,Polk County, Texas,51353,2019-07-01
391,Refugio County, Texas,6948,2019-07-01
467,Van Zandt County, Texas,56590,2019-07-01
055,Caldwell County, Texas,43664,2019-07-01
487,Wilbarger County, Texas,12769,2019-07-01
317,Martin County, Texas,5771,2019-07-01
383,Reagan County, Texas,3849,2019-07-01
501,Yoakum County, Texas,8713,2019-07-01
189,Hale County, Texas,33406,2019-07-01
419,Shelby County, Texas,25274,2019-07-01
387,Red River County, Texas,12023,2019-07-01
399,Runnels County, Texas,10264,2019-07-01
435,Sutton County, Texas,3776,2019-07-01
451,Tom Green County, Texas,119200,2019-07-01
469,Victoria County, Texas,92084,2019-07-01
481,Wharton County, Texas,41556,2019-07-01
485,Wichita County, Texas,132230,2019-07-01
033,Borden County, Texas,654,2019-07-01
315,Marion County, Texas,9854,2019-07-01
323,Maverick County, Texas,58722,2019-07-01
181,Grayson County, Texas,136212,2019-07-01
297,Live Oak County, Texas,12207,2019-07-01
363,Palo Pinto County, Texas,29189,2019-07-01
255,Karnes County, Texas,15601,2019-07-01
123,DeWitt County, Texas,20160,2019-07-01
059,Callahan County, Texas,13943,2019-07-01
067,Cass County, Texas,30026,2019-07-01
183,Gregg County, Texas,123945,2019-07-01
313,Madison County, Texas,14284,2019-07-01
303,Lubbock County, Texas,310569,2019-07-01
257,Kaufman County, Texas,136154,2019-07-01
259,Kendall County, Texas,47431,2019-07-01
153,Floyd County, Texas,5712,2019-07-01
017,Bailey County, Texas,7000,2019-07-01
071,Chambers County, Texas,43837,2019-07-01
027,Bell County, Texas,362924,2019-07-01
061,Cameron County, Texas,423163,2019-07-01
117,Deaf Smith County, Texas,18546,2019-07-01
141,El Paso County, Texas,839238,2019-07-01
283,La Salle County, Texas,7520,2019-07-01
443,Terrell County, Texas,776,2019-07-01
457,Tyler County, Texas,21672,2019-07-01
483,Wheeler County, Texas,5056,2019-07-01
009,Archer County, Texas,8553,2019-07-01
043,Brewster County, Texas,9203,2019-07-01
215,Hidalgo County, Texas,868707,2019-07-01
423,Smith County, Texas,232751,2019-07-01
105,Crockett County, Texas,3464,2019-07-01
207,Haskell County, Texas,5658,2019-07-01
227,Howard County, Texas,36664,2019-07-01
333,Mills County, Texas,4873,2019-07-01
337,Montague County, Texas,19818,2019-07-01
091,Martin County, Minnesota,19683,2019-07-01
129,Smith County, Mississippi,15916,2019-07-01
073,Lamar County, Mississippi,63343,2019-07-01
081,Lee County, Mississippi,85436,2019-07-01
135,Tallahatchie County, Mississippi,13809,2019-07-01
149,Warren County, Mississippi,45381,2019-07-01
023,Clarke County, Mississippi,15541,2019-07-01
097,Montgomery County, Mississippi,9775,2019-07-01
105,Oktibbeha County, Mississippi,49587,2019-07-01
155,Webster County, Mississippi,9689,2019-07-01
003,Alcorn County, Mississippi,36953,2019-07-01
025,Clay County, Mississippi,19316,2019-07-01
031,Covington County, Mississippi,18636,2019-07-01
053,Humphreys County, Mississippi,8064,2019-07-01
043,Dauphin County, Pennsylvania,278299,2019-07-01
005,Alleghany County, North Carolina,11137,2019-07-01
027,Caldwell County, North Carolina,82178,2019-07-01
035,Catawba County, North Carolina,159551,2019-07-01
045,Cleveland County, North Carolina,97947,2019-07-01
049,Craven County, North Carolina,102139,2019-07-01
065,Edgecombe County, North Carolina,51472,2019-07-01
077,Granville County, North Carolina,60443,2019-07-01
085,Harnett County, North Carolina,135976,2019-07-01
093,Hoke County, North Carolina,55234,2019-07-01
089,Henderson County, North Carolina,117417,2019-07-01
095,Hyde County, North Carolina,4937,2019-07-01
097,Iredell County, North Carolina,181806,2019-07-01
119,Mecklenburg County, North Carolina,1110356,2019-07-01
131,Northampton County, North Carolina,19483,2019-07-01
147,Pitt County, North Carolina,180742,2019-07-01
159,Rowan County, North Carolina,142088,2019-07-01
181,Vance County, North Carolina,44535,2019-07-01
039,Cherokee County, North Carolina,28612,2019-07-01
053,Currituck County, North Carolina,27763,2019-07-01
179,Union County, North Carolina,239859,2019-07-01
193,Wilkes County, North Carolina,68412,2019-07-01
127,Nash County, North Carolina,94298,2019-07-01
003,Alexander County, North Carolina,37497,2019-07-01
055,Dare County, North Carolina,37009,2019-07-01
185,Warren County, North Carolina,19731,2019-07-01
195,Wilson County, North Carolina,81801,2019-07-01
073,Gates County, North Carolina,11562,2019-07-01
075,Graham County, North Carolina,8441,2019-07-01
115,Madison County, North Carolina,21755,2019-07-01
137,Pamlico County, North Carolina,12726,2019-07-01
149,Polk County, North Carolina,20724,2019-07-01
151,Randolph County, North Carolina,143667,2019-07-01
169,Stokes County, North Carolina,45591,2019-07-01
187,Washington County, North Carolina,11580,2019-07-01
043,Clay County, North Carolina,11231,2019-07-01
051,Cumberland County, North Carolina,335509,2019-07-01
081,Guilford County, North Carolina,537174,2019-07-01
099,Jackson County, North Carolina,43938,2019-07-01
139,Pasquotank County, North Carolina,39824,2019-07-01
155,Robeson County, North Carolina,130625,2019-07-01
173,Swain County, North Carolina,14271,2019-07-01
183,Wake County, North Carolina,1111761,2019-07-01
007,Anson County, North Carolina,24446,2019-07-01
067,Onondaga County, New York,460528,2019-07-01
365,Panola County, Texas,23194,2019-07-01
403,Sabine County, Texas,10542,2019-07-01
421,Sherman County, Texas,3022,2019-07-01
437,Swisher County, Texas,7397,2019-07-01
231,Hunt County, Texas,98594,2019-07-01
063,Camp County, Texas,13094,2019-07-01
195,Hansford County, Texas,5399,2019-07-01
187,Guadalupe County, Texas,166847,2019-07-01
077,Clay County, Texas,10471,2019-07-01
