COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
003,Baldwin County, Alabama,208563,2016-07-01
005,Barbour County, Alabama,25965,2016-07-01
007,Bibb County, Alabama,22643,2016-07-01
009,Blount County, Alabama,57704,2016-07-01
011,Bullock County, Alabama,10362,2016-07-01
013,Butler County, Alabama,19998,2016-07-01
015,Calhoun County, Alabama,114611,2016-07-01
017,Chambers County, Alabama,33843,2016-07-01
019,Cherokee County, Alabama,25725,2016-07-01
021,Chilton County, Alabama,43941,2016-07-01
023,Choctaw County, Alabama,12993,2016-07-01
025,Clarke County, Alabama,24392,2016-07-01
027,Clay County, Alabama,13492,2016-07-01
029,Cleburne County, Alabama,14924,2016-07-01
031,Coffee County, Alabama,51226,2016-07-01
033,Colbert County, Alabama,54216,2016-07-01
035,Conecuh County, Alabama,12395,2016-07-01
037,Coosa County, Alabama,10581,2016-07-01
039,Covington County, Alabama,37458,2016-07-01
041,Crenshaw County, Alabama,13913,2016-07-01
043,Cullman County, Alabama,82471,2016-07-01
045,Dale County, Alabama,49226,2016-07-01
047,Dallas County, Alabama,40008,2016-07-01
049,DeKalb County, Alabama,70900,2016-07-01
051,Elmore County, Alabama,81799,2016-07-01
053,Escambia County, Alabama,37728,2016-07-01
055,Etowah County, Alabama,102564,2016-07-01
057,Fayette County, Alabama,16546,2016-07-01
001,Autauga County, Alabama,55416,2016-07-01
050,Bethel Census Area, Alaska,17968,2016-07-01
060,Bristol Bay Borough, Alaska,898,2016-07-01
068,Denali Borough, Alaska,1953,2016-07-01
070,Dillingham Census Area, Alaska,4954,2016-07-01
090,Fairbanks North Star Borough, Alaska,100605,2016-07-01
100,Haines Borough, Alaska,2496,2016-07-01
105,Hoonah-Angoon Census Area, Alaska,2078,2016-07-01
059,Franklin County, Alabama,31628,2016-07-01
061,Geneva County, Alabama,26614,2016-07-01
063,Greene County, Alabama,8422,2016-07-01
065,Hale County, Alabama,14952,2016-07-01
