Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Total,2019,69953,4889.0,Albany County, NY
Total,2019,41432,1090.0,Bronx County, NY
Total,2019,52010,3777.0,Broome County, NY
Total,2019,50912,2594.0,Cattaraugus County, NY
Total,2019,58665,4419.0,Cayuga County, NY
Total,2019,50272,2689.0,Chautauqua County, NY
Total,2019,60782,5361.0,Chemung County, NY
Total,2019,60198,5044.0,Clinton County, NY
Total,2019,85901,4980.0,Dutchess County, NY
Total,2019,60652,1175.0,Erie County, NY
Total,2019,53917,3182.0,Jefferson County, NY
Total,2019,66937,1343.0,Kings County, NY
Total,2019,59173,4255.0,Livingston County, NY
Total,2019,62918,7196.0,Madison County, NY
Total,2019,62103,1588.0,Monroe County, NY
Total,2019,118453,2877.0,Nassau County, NY
Total,2019,93651,3322.0,New York County, NY
Total,2019,56304,3279.0,Niagara County, NY
Total,2019,57391,3867.0,Oneida County, NY
Total,2019,61577,1705.0000000000002,Onondaga County, NY
Total,2019,66568,3443.9999999999995,Ontario County, NY
Total,2019,84458,4115.0,Orange County, NY
Total,2019,58459,4387.0,Oswego County, NY
Total,2019,106204,5290.0,Putnam County, NY
Total,2019,73696,1832.0,Queens County, NY
Total,2019,71574,3684.0,Rensselaer County, NY
Total,2019,89821,5711.0,Richmond County, NY
Total,2019,100916,3632.0000000000014,Rockland County, NY
Total,2019,52108,4862.0,St. Lawrence County, NY
Total,2019,89932,4301.0,Saratoga County, NY
Total,2019,65773,5060.0,Schenectady County, NY
Total,2019,52951,2288.0,Steuben County, NY
Total,2019,106228,3154.0,Suffolk County, NY
Total,2019,60137,4340.0,Sullivan County, NY
Total,2019,58626,5696.0,Tompkins County, NY
Total,2019,64087,3519.0,Ulster County, NY
Total,2019,64985,6205.0,Warren County, NY
Total,2019,61730,6356.0,Wayne County, NY
Total,2019,101908,2096.0,Westchester County, NY
White,2019,76360,5268.0,Albany County, NY
White,2019,48403,3117.0,Bronx County, NY
White,2019,55363,4814.0,Broome County, NY
White,2019,52125,2797.0,Cattaraugus County, NY
White,2019,60318,4298.0,Cayuga County, NY
White,2019,50489,2629.0,Chautauqua County, NY
White,2019,61182,4955.0,Chemung County, NY
White,2019,59956,5442.0,Clinton County, NY
White,2019,87616,4802.0,Dutchess County, NY
White,2019,66482,2000.0,Erie County, NY
White,2019,54025,3122.0,Jefferson County, NY
White,2019,85308,2617.0,Kings County, NY
White,2019,59932,4098.0,Livingston County, NY
White,2019,64296,6754.0,Madison County, NY
White,2019,69641,2071.0,Monroe County, NY
White,2019,122846,4502.0,Nassau County, NY
White,2019,122085,4666.0,New York County, NY
White,2019,60262,3808.0,Niagara County, NY
White,2019,61280,3280.0,Oneida County, NY
White,2019,66872,2172.0,Onondaga County, NY
White,2019,67719,4615.0,Ontario County, NY
White,2019,88935,5005.0,Orange County, NY
White,2019,58945,4652.0,Oswego County, NY
White,2019,107361,7612.0,Putnam County, NY
White,2019,79615,3028.0,Queens County, NY
White,2019,74957,4824.0,Rensselaer County, NY
White,2019,97098,5642.0,Richmond County, NY
White,2019,102179,3936.0000000000014,Rockland County, NY
White,2019,52153,5447.0,St. Lawrence County, NY
White,2019,87994,5464.0,Saratoga County, NY
White,2019,76175,7104.0,Schenectady County, NY
White,2019,52363,2441.0,Steuben County, NY
White,2019,108064,3140.0,Suffolk County, NY
White,2019,61271,8682.0,Sullivan County, NY
