Year,Race_ID,County_ID,Household_Income,Household_Income_MOE
2019,1,1,76360,5268.0
2018,1,1,72570,4727.0
2017,1,1,73561,3412.0
2016,1,1,69058,3486.0000000000005
2015,1,1,62917,4663.0
2014,1,1,67740,3086.0
2013,1,1,61472,2773.0
2019,1,5,48403,3117.0
2018,1,5,43179,3609.0
2017,1,5,48020,3590.0
2016,1,5,43019,4154.0
2015,1,5,43152,3322.0
2014,1,5,43990,3211.0
2013,1,5,40649,2380.0
2019,1,7,55363,4814.0
2018,1,7,52313,3971.0
2017,1,7,50829,3502.0
2016,1,7,53301,2906.0
2015,1,7,47725,3850.0000000000014
2014,1,7,49799,3135.0
2013,1,7,47267,3306.0
2019,1,9,52125,2797.0
2018,1,9,49413,2974.0
2017,1,9,49725,3143.0
2016,1,9,48077,3416.0
2015,1,9,40535,2401.0
2014,1,9,44598,3670.0
2013,1,9,41193,2731.0
2019,1,11,60318,4298.0
2018,1,11,52929,4630.0
2017,1,11,57044,3806.0
2016,1,11,56373,4013.0
2015,1,11,52926,3611.0
2014,1,11,54035,2502.0
2013,1,11,51170,3026.0
2019,1,13,50489,2629.0
2018,1,13,46891,2820.0
2017,1,13,46708,2734.0
2016,1,13,43789,3395.0000000000005
2015,1,13,45237,3158.0
2014,1,13,42288,2151.0
2013,1,13,40991,2161.0
2019,1,15,61182,4955.0
2018,1,15,56387,4220.0
2017,1,15,51961,5662.0
2016,1,15,51612,3212.0
2015,1,15,54285,3935.0
2014,1,15,51151,3450.0000000000005
2013,1,15,46489,3335.0
2019,1,19,59956,5442.0
2018,1,19,57241,5794.0
2017,1,19,58248,4377.0
2016,1,19,55669,4442.0
2015,1,19,46096,3870.0000000000014
2014,1,19,54321,5211.0
2013,1,19,45117,5763.0
2019,1,27,87616,4802.0
2018,1,27,82207,3802.0
2017,1,27,82821,4705.0
2016,1,27,76711,3603.0
2015,1,27,75359,3886.0000000000014
2014,1,27,73202,4299.0
2013,1,27,74573,4782.0
2019,1,29,66482,2000.0
2018,1,29,62676,1768.0000000000002
2017,1,29,62082,1014.0
2016,1,29,61154,1578.0
2015,1,29,60166,1762.0
2014,1,29,56382,1436.0
2013,1,29,56633,1224.0
2019,1,45,54025,3122.0
2018,1,45,53635,3895.0
2017,1,45,48680,2995.0
2016,1,45,45325,3282.0
2015,1,45,52677,2871.0
2014,1,45,53584,3382.9999999999995
2013,1,45,47723,4998.0
2019,1,47,85308,2617.0
2018,1,47,78927,2905.0
2017,1,47,75185,2230.0
2016,1,47,68912,2755.0
2015,1,47,63096,1842.0
2014,1,47,61061,1089.0
2013,1,47,57225,1382.0
2019,1,51,59932,4098.0
2018,1,51,62187,5794.0
2017,1,51,56784,4087.0
2016,1,51,54136,4860.0
2015,1,51,53916,6551.0
2014,1,51,49706,3557.0
2013,1,51,51994,4072.0
2019,1,53,64296,6754.0
2018,1,53,59300,3961.0000000000014
2017,1,53,55997,6491.0
2016,1,53,60725,6548.0
2015,1,53,59775,3451.0
2014,1,53,52565,4054.0
2013,1,53,52804,5615.0
2019,1,55,69641,2071.0
2018,1,55,66667,1909.0
2017,1,55,65031,2103.0
2016,1,55,60988,1794.0
2015,1,55,61486,1630.0
2014,1,55,57153,1742.0
2013,1,55,57595,1688.9999999999998
2019,1,59,122846,4502.0
2018,1,59,120728,2774.0
2017,1,59,114508,4246.0
2016,1,59,110903,1972.0
2015,1,59,105992,2604.0
2014,1,59,102443,2261.0
2013,1,59,100988,1600.0
2019,1,61,122085,4666.0
2018,1,61,115829,4951.0
2017,1,61,114659,5262.0
2016,1,61,102421,3954.0
2015,1,61,101081,1342.0
2014,1,61,101842,1725.0000000000002
2013,1,61,100128,3118.0
2019,1,63,60262,3808.0
2018,1,63,57110,3479.9999999999995
2017,1,63,58266,3236.0
2016,1,63,53320,3978.0
2015,1,63,52777,3080.0
2014,1,63,52021,2735.0
2013,1,63,47873,3850.0000000000014
2019,1,65,61280,3280.0
2018,1,65,57434,2483.0
2017,1,65,56335,2181.0
2016,1,65,55096,2511.0
2015,1,65,50918,1852.0
2014,1,65,51025,2445.0
2013,1,65,46080,2963.0
2019,1,67,66872,2172.0
2018,1,67,66754,2319.0
2017,1,67,64336,2474.0
2016,1,67,62811,2117.0
2015,1,67,61723,1503.0
2014,1,67,57149,1724.0
2013,1,67,56201,2553.0
2019,1,69,67719,4615.0
2018,1,69,63546,3568.0
2017,1,69,68189,5681.0
2016,1,69,59318,4362.0
2015,1,69,59331,4339.0
2014,1,69,60188,4357.0
2013,1,69,59592,3123.0
2019,1,71,88935,5005.0
2018,1,71,79372,3794.0000000000014
2017,1,71,83452,4907.0
2016,1,71,81401,4920.0
2015,1,71,76937,3684.0
2014,1,71,76237,2988.0
2013,1,71,72434,3848.0
2019,1,75,58945,4652.0
2018,1,75,54113,3692.0
2017,1,75,53824,3756.0
2016,1,75,54023,3229.0
2015,1,75,50155,2530.0
2014,1,75,48206,4537.0
2013,1,75,46727,4007.0000000000014
2019,1,79,107361,7612.0
2018,1,79,103935,8559.0
2017,1,79,101905,10616.0
2016,1,79,100052,8962.0
2015,1,79,93528,6458.0
2014,1,79,100295,9519.0
2013,1,79,94706,7413.0
2019,1,81,79615,3028.0
2018,1,81,74389,2516.0
2017,1,81,68131,1860.0
2016,1,81,67709,2216.0
2015,1,81,64253,2274.0
2014,1,81,61228,1217.0
2013,1,81,58021,2119.0
2019,1,83,74957,4824.0
2018,1,83,74511,3107.0
2017,1,83,67298,3692.0
2016,1,83,69639,3441.0
2015,1,83,61814,2824.0
2014,1,83,64189,2809.0
2013,1,83,59032,3507.0
2019,1,85,97098,5642.0
2018,1,85,86168,6546.0
2017,1,85,85286,4232.0
2016,1,85,81290,3343.0
2015,1,85,77498,3713.0000000000014
2014,1,85,78425,4217.0
2013,1,85,73801,3426.0
2019,1,87,102179,3936.0000000000014
2018,1,87,90304,4726.0
2017,1,87,90600,5183.0
2016,1,87,89252,7490.999999999999
2015,1,87,89196,4890.0
2014,1,87,88938,4181.0
2013,1,87,80367,3638.0
2019,1,89,52153,5447.0
2018,1,89,49532,3183.0
2017,1,89,50262,3068.0
2016,1,89,51826,1919.0
2015,1,89,42285,3172.0
2014,1,89,43820,3082.0
2013,1,89,45607,4819.0
2019,1,91,87994,5464.0
2018,1,91,82149,3909.0
2017,1,91,83512,4415.0
2016,1,91,75375,3702.0
2015,1,91,74644,4751.0
2014,1,91,71672,3432.0
2013,1,91,70756,4017.0000000000014
2019,1,93,76175,7104.0
2018,1,93,71042,6035.0
2017,1,93,70890,6777.0
2016,1,93,66117,3377.9999999999995
2015,1,93,64239,6376.0
2014,1,93,60851,2744.0
2013,1,93,59012,3418.0
2019,1,101,52363,2441.0
2018,1,101,55546,2899.0
2017,1,101,50830,3088.0
2016,1,101,50106,3888.0
2015,1,101,46536,2927.0
2014,1,101,46923,2216.0
2013,1,101,46495,3099.0
2019,1,103,108064,3140.0
2018,1,103,102475,2513.0
2017,1,103,97071,2532.0
2016,1,103,94790,2733.0
2015,1,103,90895,1267.0
2014,1,103,89605,2064.0
2013,1,103,88100,2287.0
2019,1,105,61271,8682.0
2018,1,105,57007,8404.0
2017,1,105,58326,8284.0
2016,1,105,57978,6108.0
2015,1,105,56034,5870.0
2014,1,105,53029,7809.0
2013,1,105,49099,4108.0
2019,1,109,61425,5142.0
2018,1,109,63674,4486.0
2017,1,109,60469,6877.999999999999
2016,1,109,61951,5134.0
2015,1,109,61024,5881.0
2014,1,109,59394,4952.0
2013,1,109,52833,5067.0
2019,1,111,64888,4459.0
2018,1,111,67086,5141.0
2017,1,111,64743,4145.0
2016,1,111,65279,3411.0
2015,1,111,61320,2202.0
2014,1,111,60541,3400.0000000000005
2013,1,111,59625,4184.0
2019,1,113,64311,6357.0
2018,1,113,56001,2958.0
2017,1,113,60493,5627.0
2016,1,113,60139,6585.0
2015,1,113,60143,6774.0
2014,1,113,57823,4672.0
2013,1,113,57537,5174.0
2019,1,117,64400,5996.0
2018,1,117,62036,3782.0
2017,1,117,52189,3312.0
2016,1,117,59354,4772.0
2015,1,117,50917,2881.0
2014,1,117,46818,4867.0
2013,1,117,51128,2930.0
2019,1,119,120942,3955.0
2018,1,119,110786,3252.0
2017,1,119,109615,4372.0
2016,1,119,103947,3416.0
2015,1,119,100532,2556.0
2014,1,119,95641,3126.0
2013,1,119,98542,3676.0
2019,2,1,36667,8984.0
2018,2,1,34160,4812.0
2017,2,1,32711,6022.0
2016,2,1,27035,7243.0
2015,2,1,27863,3123.0
2014,2,1,32280,5389.0
2013,2,1,27308,5998.0
2019,2,5,41343,2371.0
2018,2,5,40575,2078.0
2017,2,5,37491,2514.0
2016,2,5,41675,2137.0
2015,2,5,36364,1737.0
