Table Name,Field Name,Type,Description\n
County,County_ID,Integer,This is a unique identifier of the county in address record\n
County,county_name,Varchar,name of the county in address record\n
County_Population_by_Year,County_ID,Integer,This is a unique identifier of the county in address record\n
County_Population_by_Year,Year,Date,A period of time equal to 365 days\n
County_Population_by_Year,population,Integer,"the number of people in a city or town, region, country or world"\n
Address,Accident_ID,Varchar,This is a unique identifier of the accident record\n
Address,Number,Integer,Shows the street number in address record.\n
Address,Street,String,Shows the street name in address record.\n
Address,City,String,Shows the city in address record.\n
Address,County_ID,Integer,This is a unique identifier of the county in address record
Address,Zipcode,Varchar,Shows the zipcode in address record.
Household_Income_by_Race,Year,Date,A period of time equal to 365 days
Household_Income_by_Race,Race_ID,Integer,This is a unique identifier of the race record
Household_Income_by_Race,County_ID,Integer,This is a unique identifier of the county in address record
Household_Income_by_Race,Household_Income,Integer,Income of the household in US dollars
Household_Income_by_Race,Household_Income_MOE,Integer,Income of the household in US dollars margin of error
Race,Race_ID,Integer,This is a unique identifier of the race record
Race,Race ,Varchar,any one of the groups that human beings are often divided into based on physical traits or ancestry
NY_accidents,Accident_ID,Varchar,This is a unique identifier of the accident record
NY_accidents,Severity,Integer,"Shows the severity of the accident, a number between 1 and 4, where 1 indicates the least impact on traffic"
NY_accidents,Distance (mi),Float,The length of the road extent affected by the accident.
NY_accidents,Description,String,Shows natural language description of the accident.
Time,Accident_ID,Varchar,This is a unique identifier of the accident record
Time,Start_Time,Datetime,Shows start time of the accident in local time zone.
Time,End_Time,Datetime,Shows end time of the accident in local time zone. End time here refers to when the impact of accident on traffic flow
Time,Sunrise_Sunset,String,Shows the period of day (i.e. day or night) based on sunrise/sunset.
Lat_Lng,Accident_ID,Varchar,This is a unique identifier of the accident record
Lat_Lng,Start_Lat,Integer,Shows latitude in GPS coordinate of the start point.
Lat_Lng,Start_Lng,Integer,Shows longitude in GPS coordinate of the start point.
Lat_Lng,End_Lat,Integer,Shows latitude in GPS coordinate of the end point.
Lat_Lng,End_Lng,Integer,Shows longitude in GPS coordinate of the end point.
Weather,Accident_ID,Varchar,This is a unique identifier of the accident record
Weather,Weather_Timestamp,Datetime,Shows the time-stamp of weather observation record (in local time).
Weather,Temperature(F),Float,Shows the temperature (in Fahrenheit).
Weather,Wind_Chill(F),Float,Shows the wind chill (in Fahrenheit).
Weather,Humidity(%),Float,Shows the humidity (in percentage).
Weather,Pressure(in),Float,Shows the air pressure (in inches).
Weather,Visibility(mi),Float,Shows visibility (in miles).
Weather,Wind_Direction,String,Shows wind direction.
Weather,Wind_Speed(mph),Float,Shows wind speed (in miles per hour).
Weather,Precipitation(in),Float,"Shows precipitation amount in inches, if there is any."
Weather,Weather_Condition,String,"Shows the weather condition (rain, snow, thunderstorm, fog, etc.)"
Infrastructure,Accident_ID,Varchar,This is a unique identifier of the accident record
Infrastructure,Bump,Bit,A POI annotation which indicates presence of speed bump or hump in a nearby location.
Infrastructure,Crossing,Bit,A POI annotation which indicates presence of crossing in a nearby location.
Infrastructure,Give_Way,Bit,A POI annotation which indicates presence of give_way in a nearby location.
Infrastructure,Junction,Bit,A POI annotation which indicates presence of junction in a nearby location.
Infrastructure,No_Exit,Bit,A POI annotation which indicates presence of no_exit in a nearby location.
Infrastructure,Railway,Bit,A POI annotation which indicates presence of railway in a nearby location.
Infrastructure,Roundabout,Bit,A POI annotation which indicates presence of roundabout in a nearby location.
Infrastructure,Station,Bit,A POI annotation which indicates presence of station in a nearby location.
Infrastructure,Stop,Bit,A POI annotation which indicates presence of stop in a nearby location.
Infrastructure,Traffic_Calming,Bit,A POI annotation which indicates presence of traffic_calming in a nearby location.
Infrastructure,Traffic_Signal,Bit,A POI annotation which indicates presence of traffic_signal in a nearby location.
Infrastructure,Turning_Loop,Bit,A POI annotation which indicates presence of turning_loop in a nearby location.
