STATE,POPULATION,DATE
Alabama,4887871,2018-07-01
Alaska,737438,2018-07-01
Arizona,7171646,2018-07-01
Arkansas,3013825,2018-07-01
California,39557045,2018-07-01
Colorado,5695564,2018-07-01
Connecticut,3572665,2018-07-01
Delaware,967171,2018-07-01
District of Columbia,702455,2018-07-01
Florida,21299325,2018-07-01
Georgia,10519475,2018-07-01
Hawaii,1420491,2018-07-01
Idaho,1754208,2018-07-01
Illinois,12741080,2018-07-01
Indiana,6691878,2018-07-01
Iowa,3156145,2018-07-01
Kansas,2911505,2018-07-01
Kentucky,4468402,2018-07-01
Louisiana,4659978,2018-07-01
Maine,1338404,2018-07-01
Maryland,6042718,2018-07-01
Massachusetts,6902149,2018-07-01
Michigan,9995915,2018-07-01
Minnesota,5611179,2018-07-01
Mississippi,2986530,2018-07-01
Missouri,6126452,2018-07-01
Montana,1062305,2018-07-01
Nebraska,1929268,2018-07-01
Nevada,3034392,2018-07-01
New Hampshire,1356458,2018-07-01
New Jersey,8908520,2018-07-01
New Mexico,2095428,2018-07-01
New York,19542209,2018-07-01
North Carolina,10383620,2018-07-01
North Dakota,760077,2018-07-01
Ohio,11689442,2018-07-01
Oklahoma,3943079,2018-07-01
Oregon,4190713,2018-07-01
Pennsylvania,12807060,2018-07-01
Rhode Island,1057315,2018-07-01
South Carolina,5084127,2018-07-01
South Dakota,882235,2018-07-01
Tennessee,6770010,2018-07-01
Texas,28701845,2018-07-01
Utah,3161105,2018-07-01
Vermont,626299,2018-07-01
Virginia,8517685,2018-07-01
Washington,7535591,2018-07-01
West Virginia,1805832,2018-07-01
Wisconsin,5813568,2018-07-01
Wyoming,577737,2018-07-01
Puerto Rico,3195153,2018-07-01
